id	lang_region	question_en	answer_en
ar-DZ_032	ar-DZ	What time do shops usually open in the morning in Algeria?	8:00 a
ar-DZ_033	ar-DZ	Are businesses closed on Sundays in Algeria?	Yes
ar-DZ_034	ar-DZ	How long is a typical workday in Algeria?	8 hours
ar-DZ_035	ar-DZ	What month is summer vacation for schools in Algeria?	July and August
ar-DZ_036	ar-DZ	Is punctuality very important in Algeria?	Yes
ar-DZ_037	ar-DZ	What is a major cultural festival in Algeria?	World Arabic Dance Festival
ar-DZ_038	ar-DZ	Do people celebrate Christmas in Algeria?	Yes, some people do
ar-EG_001	ar-EG	What is the emergency telephone number for police in Egypt?	112
ar-EG_002	ar-EG	What number should I call for an ambulance in Egypt?	16666
ar-EG_003	ar-EG	Is there a general emergency number like 911 in Egypt?	112
ar-EG_004	ar-EG	What is the fire department emergency number in Egypt?	101
ar-EG_005	ar-EG	How do I contact emergency medical services in Egypt?	Dial 16300
ar-EG_006	ar-EG	Are emergency services available in multiple languages in Egypt?	Yes
ar-EG_007	ar-EG	What should I do first in a medical emergency in Egypt?	Call the emergency number 16333
ar-EG_008	ar-EG	Is it common to tip emergency responders in Egypt?	No
ar-EG_009	ar-EG	What is the official currency used in Egypt?	Egyptian Pound (EGP)
ar-EG_010	ar-EG	Is cash still widely accepted in Egypt?	Yes
ar-EG_011	ar-EG	Do people mostly use credit cards or mobile payments in Egypt?	Mobile payments
ar-EG_012	ar-EG	What is the typical tipping percentage in restaurants in Egypt?	10-15% of the bill
ar-EG_013	ar-EG	Are prices usually displayed including tax in Egypt?	Yes
ar-EG_014	ar-EG	Can I use US dollars easily in Egypt?	No, but Egyptian pounds are widely accepted
ar-EG_015	ar-EG	What is the name of the central bank in Egypt?	Central Bank of Egypt
ar-EG_016	ar-EG	Is haggling common in markets in Egypt?	Yes
ar-EG_017	ar-EG	What is a common breakfast dish in Egypt?	Ful medames
ar-EG_019	ar-EG	What time do people generally have dinner in Egypt?	7-8 PM
ar-EG_021	ar-EG	What is a traditional national dish in Egypt?	Koshari
ar-EG_023	ar-EG	What is the most popular non-alcoholic drink in Egypt?	Tea
ar-EG_024	ar-EG	Is tap water safe to drink in Egypt?	Yes, but it is recommended to drink bottled water
ar-EG_025	ar-EG	What kind of bread is commonly eaten in Egypt?	Egyptian bread
ar-EG_026	ar-EG	Are meals typically served with rice in Egypt?	Yes
ar-EG_027	ar-EG	What is a typical dessert in Egypt?	Baklava
ar-EG_029	ar-EG	What is the main national holiday in Egypt?	Eid al-Fitr
ar-EG_030	ar-EG	When is New Year's Day celebrated in Egypt?	January 1st
ar-EG_031	ar-EG	Is Sunday considered a weekend day in Egypt?	Yes
ar-EG_032	ar-EG	What time do shops usually open in the morning in Egypt?	9:00 AM
ar-EG_034	ar-EG	How long is a typical workday in Egypt?	8 hours
ar-EG_035	ar-EG	What month is summer vacation for schools in Egypt?	July and August
ar-EG_036	ar-EG	Is punctuality very important in Egypt?	Yes
ar-EG_037	ar-EG	What is a major cultural festival in Egypt?	The Egyptian International Film Festival
ar-EG_038	ar-EG	Do people celebrate Christmas in Egypt?	Yes, some people in Egypt celebrate Christmas
ar-MA_001	ar-MA	What is the emergency telephone number for police in Morocco?	17
ar-MA_002	ar-MA	What number should I call for an ambulance in Morocco?	17
ar-MA_003	ar-MA	Is there a general emergency number like 911 in Morocco?	17
ar-MA_004	ar-MA	What is the fire department emergency number in Morocco?	15
ar-MA_005	ar-MA	How do I contact emergency medical services in Morocco?	Dial 15 or 17
ar-MA_006	ar-MA	Are emergency services available in multiple languages in Morocco?	Yes
ar-MA_007	ar-MA	What should I do first in a medical emergency in Morocco?	Call the emergency number 17
ar-MA_008	ar-MA	Is it common to tip emergency responders in Morocco?	No
ar-MA_009	ar-MA	What is the official currency used in Morocco?	Moroccan Dirham
ar-MA_010	ar-MA	Is cash still widely accepted in Morocco?	Yes
ar-MA_011	ar-MA	Do people mostly use credit cards or mobile payments in Morocco?	Mobile payments
ar-MA_012	ar-MA	What is the typical tipping percentage in restaurants in Morocco?	10% to 15% of the bill
ar-MA_013	ar-MA	Are prices usually displayed including tax in Morocco?	Yes
ar-MA_014	ar-MA	Can I use US dollars easily in Morocco?	No, Moroccan dinars are the official currency
ar-MA_015	ar-MA	What is the name of the central bank in Morocco?	Banque de France
ar-MA_016	ar-MA	Is haggling common in markets in Morocco?	Yes
ar-MA_017	ar-MA	What is a common breakfast dish in Morocco?	Couscous and bread
ar-MA_018	ar-MA	What do people usually eat for lunch in Morocco?	Tagine, couscous, and bread
ar-MA_019	ar-MA	What time do people generally have dinner in Morocco?	7:00 PM to 9:00 PM
ar-MA_021	ar-MA	What is a traditional national dish in Morocco?	Tagine
ar-MA_023	ar-MA	What is the most popular non-alcoholic drink in Morocco?	Mint tea
ar-MA_025	ar-MA	What kind of bread is commonly eaten in Morocco?	Couscous
ar-MA_026	ar-MA	Are meals typically served with rice in Morocco?	Yes
ar-MA_027	ar-MA	What is a typical dessert in Morocco?	Moroccan tagine
ar-MA_028	ar-MA	Do people eat with utensils, hands, or chopsticks in Morocco?	Hands
ar-MA_029	ar-MA	What is the main national holiday in Morocco?	Independence Day on November 1st
ar-MA_030	ar-MA	When is New Year's Day celebrated in Morocco?	On January 1st
ar-MA_031	ar-MA	Is Sunday considered a weekend day in Morocco?	Yes
ar-MA_032	ar-MA	What time do shops usually open in the morning in Morocco?	8:00 a
ar-MA_034	ar-MA	How long is a typical workday in Morocco?	8 to 9 hours
ar-MA_035	ar-MA	What month is summer vacation for schools in Morocco?	July and August
ar-MA_036	ar-MA	Is punctuality very important in Morocco?	No
ar-MA_037	ar-MA	What is a major cultural festival in Morocco?	Meknès Festival of the World's Cultures
ar-MA_038	ar-MA	Do people celebrate Christmas in Morocco?	Yes, some people in Morocco celebrate Christmas
ar-SA_001	ar-SA	What is the emergency telephone number for police in Saudi Arabia?	999
ar-SA_002	ar-SA	What number should I call for an ambulance in Saudi Arabia?	999
ar-SA_003	ar-SA	Is there a general emergency number like 911 in Saudi Arabia?	999
ar-SA_004	ar-SA	What is the fire department emergency number in Saudi Arabia?	999
ar-SA_005	ar-SA	How do I contact emergency medical services in Saudi Arabia?	Call 998
ar-SA_006	ar-SA	Are emergency services available in multiple languages in Saudi Arabia?	Yes
ar-SA_007	ar-SA	What should I do first in a medical emergency in Saudi Arabia?	Call the emergency number 999
ar-SA_008	ar-SA	Is it common to tip emergency responders in Saudi Arabia?	No
ar-SA_010	ar-SA	Is cash still widely accepted in Saudi Arabia?	Yes, cash is still widely accepted in Saudi Arabia
ar-SA_012	ar-SA	What is the typical tipping percentage in restaurants in Saudi Arabia?	10% to 15% of the bill
ar-SA_013	ar-SA	Are prices usually displayed including tax in Saudi Arabia?	Yes
ar-SA_014	ar-SA	Can I use US dollars easily in Saudi Arabia?	No, the local currency is the Saudi riyal (SAR)
ar-SA_015	ar-SA	What is the name of the central bank in Saudi Arabia?	Saudi Central Bank
ar-SA_016	ar-SA	Is haggling common in markets in Saudi Arabia?	Yes
ar-SA_017	ar-SA	What is a common breakfast dish in Saudi Arabia?	Arabic coffee with bread and dates
ar-SA_019	ar-SA	What time do people generally have dinner in Saudi Arabia?	6:00 PM to 8:00 PM
ar-SA_021	ar-SA	What is a traditional national dish in Saudi Arabia?	Kabsa
ar-SA_023	ar-SA	What is the most popular non-alcoholic drink in Saudi Arabia?	Coca-Cola
ar-SA_024	ar-SA	Is tap water safe to drink in Saudi Arabia?	Yes, tap water is safe to drink in Saudi Arabia
ar-SA_025	ar-SA	What kind of bread is commonly eaten in Saudi Arabia?	Arabic bread
ar-SA_026	ar-SA	Are meals typically served with rice in Saudi Arabia?	Yes
ar-SA_027	ar-SA	What is a typical dessert in Saudi Arabia?	Baklava
ar-SA_028	ar-SA	Do people eat with utensils, hands, or chopsticks in Saudi Arabia?	People eat with hands
ar-SA_029	ar-SA	What is the main national holiday in Saudi Arabia?	Eid al-Fitr
ar-SA_030	ar-SA	When is New Year's Day celebrated in Saudi Arabia?	On January 1st
ar-SA_031	ar-SA	Is Sunday considered a weekend day in Saudi Arabia?	Yes
ar-SA_032	ar-SA	What time do shops usually open in the morning in Saudi Arabia?	8:00 AM
ar-SA_034	ar-SA	How long is a typical workday in Saudi Arabia?	8 hours
ar-SA_035	ar-SA	What month is summer vacation for schools in Saudi Arabia?	July and August
ar-SA_036	ar-SA	Is punctuality very important in Saudi Arabia?	Yes
ar-SA_037	ar-SA	What is a major cultural festival in Saudi Arabia?	Saudi Arabia's National Day
ar-SA_038	ar-SA	Do people celebrate Christmas in Saudi Arabia?	Yes, some people do
am-ET_001	am-ET	What is the emergency telephone number for police in Ethiopia?	110
am-ET_002	am-ET	What number should I call for an ambulance in Ethiopia?	191
am-ET_003	am-ET	Is there a general emergency number like 911 in Ethiopia?	115
am-ET_004	am-ET	What is the fire department emergency number in Ethiopia?	112
am-ET_005	am-ET	How do I contact emergency medical services in Ethiopia?	Dial 192
am-ET_006	am-ET	Are emergency services available in multiple languages in Ethiopia?	Yes
am-ET_007	am-ET	What should I do first in a medical emergency in Ethiopia?	Call the emergency number 192
am-ET_008	am-ET	Is it common to tip emergency responders in Ethiopia?	No
am-ET_009	am-ET	What is the official currency used in Ethiopia?	Ethiopian Birr
am-ET_010	am-ET	Is cash still widely accepted in Ethiopia?	Yes
am-ET_011	am-ET	Do people mostly use credit cards or mobile payments in Ethiopia?	Mobile payments
am-ET_012	am-ET	What is the typical tipping percentage in restaurants in Ethiopia?	10% to 15% of the bill
am-ET_013	am-ET	Are prices usually displayed including tax in Ethiopia?	Yes
am-ET_014	am-ET	Can I use US dollars easily in Ethiopia?	No
am-ET_015	am-ET	What is the name of the central bank in Ethiopia?	Ethiopian National Bank
am-ET_016	am-ET	Is haggling common in markets in Ethiopia?	Yes
am-ET_017	am-ET	What is a common breakfast dish in Ethiopia?	Injera with tea or coffee
am-ET_019	am-ET	What time do people generally have dinner in Ethiopia?	6:00 PM to 8:00 PM
am-ET_021	am-ET	What is a traditional national dish in Ethiopia?	Injera with various stews and vegetables
am-ET_023	am-ET	What is the most popular non-alcoholic drink in Ethiopia?	Coffee
am-ET_025	am-ET	What kind of bread is commonly eaten in Ethiopia?	Injera
am-ET_026	am-ET	Are meals typically served with rice in Ethiopia?	Yes
am-ET_027	am-ET	What is a typical dessert in Ethiopia?	Injera with a variety of stews and spicy dishes
am-ET_028	am-ET	Do people eat with utensils, hands, or chopsticks in Ethiopia?	Hands
am-ET_030	am-ET	When is New Year's Day celebrated in Ethiopia?	1 January
am-ET_031	am-ET	Is Sunday considered a weekend day in Ethiopia?	Yes
am-ET_032	am-ET	What time do shops usually open in the morning in Ethiopia?	7:00 AM
am-ET_034	am-ET	How long is a typical workday in Ethiopia?	8 to 9 hours
am-ET_035	am-ET	What month is summer vacation for schools in Ethiopia?	September to November
am-ET_036	am-ET	Is punctuality very important in Ethiopia?	No
am-ET_038	am-ET	Do people celebrate Christmas in Ethiopia?	Yes, some people in Ethiopia celebrate Christmas
ha-NG_001	ha-NG	What is the emergency telephone number for police in Northern Nigeria?	112
ha-NG_002	ha-NG	What number should I call for an ambulance in Northern Nigeria?	112
ha-NG_003	ha-NG	Is there a general emergency number like 911 in Northern Nigeria?	112
ha-NG_004	ha-NG	What is the fire department emergency number in Northern Nigeria?	112
ha-NG_006	ha-NG	Are emergency services available in multiple languages in Northern Nigeria?	Yes
ha-NG_007	ha-NG	What should I do first in a medical emergency in Northern Nigeria?	Call the local emergency number, 112
ha-NG_008	ha-NG	Is it common to tip emergency responders in Northern Nigeria?	No
ha-NG_009	ha-NG	What is the official currency used in Northern Nigeria?	Nigerian Naira
ha-NG_011	ha-NG	Do people mostly use credit cards or mobile payments in Northern Nigeria?	Mobile payments
ha-NG_012	ha-NG	What is the typical tipping percentage in restaurants in Northern Nigeria?	10% to 15% of the bill
ha-NG_013	ha-NG	Are prices usually displayed including tax in Northern Nigeria?	Yes
ha-NG_014	ha-NG	Can I use US dollars easily in Northern Nigeria?	No
ha-NG_016	ha-NG	Is haggling common in markets in Northern Nigeria?	Yes
ha-NG_017	ha-NG	What is a common breakfast dish in Northern Nigeria?	Pounded Yam with Egusi Soup
ha-NG_018	ha-NG	What do people usually eat for lunch in Northern Nigeria?	Stew, rice, and bread
ha-NG_019	ha-NG	What time do people generally have dinner in Northern Nigeria?	6:00 PM to 8:00 PM
ha-NG_021	ha-NG	What is a traditional national dish in Northern Nigeria?	Kuku
ha-NG_022	ha-NG	Are vegetarian options widely available in Northern Nigeria?	No
ha-NG_023	ha-NG	What is the most popular non-alcoholic drink in Northern Nigeria?	Kola nut
ha-NG_025	ha-NG	What kind of bread is commonly eaten in Northern Nigeria?	Ugali
ha-NG_026	ha-NG	Are meals typically served with rice in Northern Nigeria?	Yes
ha-NG_027	ha-NG	What is a typical dessert in Northern Nigeria?	Kuku
ha-NG_028	ha-NG	Do people eat with utensils, hands, or chopsticks in Northern Nigeria?	Hands
ha-NG_029	ha-NG	What is the main national holiday in Northern Nigeria?	Eid al-Fitr
ha-NG_030	ha-NG	When is New Year's Day celebrated in Northern Nigeria?	On January 1st
ha-NG_031	ha-NG	Is Sunday considered a weekend day in Northern Nigeria?	Yes
ha-NG_032	ha-NG	What time do shops usually open in the morning in Northern Nigeria?	7:00 AM
ha-NG_034	ha-NG	How long is a typical workday in Northern Nigeria?	9 to 12 hours
ha-NG_035	ha-NG	What month is summer vacation for schools in Northern Nigeria?	July
ha-NG_036	ha-NG	Is punctuality very important in Northern Nigeria?	Yes
ha-NG_037	ha-NG	What is a major cultural festival in Northern Nigeria?	Jalingo Festival
as-AS_001	as-AS	What is the emergency telephone number for police in Assam, India?	100
as-AS_002	as-AS	What number should I call for an ambulance in Assam, India?	102
as-AS_003	as-AS	Is there a general emergency number like 911 in Assam, India?	Yes, the emergency number is 112
as-AS_004	as-AS	What is the fire department emergency number in Assam, India?	102
as-AS_005	as-AS	How do I contact emergency medical services in Assam, India?	Dial 102
as-AS_006	as-AS	Are emergency services available in multiple languages in Assam, India?	Yes
as-AS_007	as-AS	What should I do first in a medical emergency in Assam, India?	Call the local emergency number 102
as-AS_008	as-AS	Is it common to tip emergency responders in Assam, India?	No
as-AS_009	as-AS	What is the official currency used in Assam, India?	Indian Rupee
as-AS_010	as-AS	Is cash still widely accepted in Assam, India?	Yes, cash is still widely accepted in Assam, India
as-AS_011	as-AS	Do people mostly use credit cards or mobile payments in Assam, India?	Mobile payments
as-AS_012	as-AS	What is the typical tipping percentage in restaurants in Assam, India?	10% to 15% of the bill
as-AS_013	as-AS	Are prices usually displayed including tax in Assam, India?	Yes
as-AS_015	as-AS	What is the name of the central bank in Assam, India?	Reserve Bank of India
as-AS_016	as-AS	Is haggling common in markets in Assam, India?	Yes
as-AS_017	as-AS	What is a common breakfast dish in Assam, India?	Pitha
as-AS_018	as-AS	What do people usually eat for lunch in Assam, India?	Rice, fish, and vegetables
as-AS_019	as-AS	What time do people generally have dinner in Assam, India?	6:00 PM to 8:00 PM
as-AS_021	as-AS	What is a traditional national dish in Assam, India?	"Assam's traditional national dish is ""Panta Panta"
as-AS_022	as-AS	Are vegetarian options widely available in Assam, India?	Yes
as-AS_023	as-AS	What is the most popular non-alcoholic drink in Assam, India?	Assam beer
as-AS_025	as-AS	What kind of bread is commonly eaten in Assam, India?	Pitha
as-AS_026	as-AS	Are meals typically served with rice in Assam, India?	Yes
as-AS_027	as-AS	What is a typical dessert in Assam, India?	Kheer
as-AS_028	as-AS	Do people eat with utensils, hands, or chopsticks in Assam, India?	People in Assam primarily use utensils for eating
as-AS_029	as-AS	What is the main national holiday in Assam, India?	Assam Rifles Day
as-AS_030	as-AS	When is New Year's Day celebrated in Assam, India?	January 1st
as-AS_031	as-AS	Is Sunday considered a weekend day in Assam, India?	Yes
as-AS_032	as-AS	What time do shops usually open in the morning in Assam, India?	8:00 AM
as-AS_034	as-AS	How long is a typical workday in Assam, India?	9 to 10 hours
as-AS_035	as-AS	What month is summer vacation for schools in Assam, India?	June to August
as-AS_036	as-AS	Is punctuality very important in Assam, India?	No
as-AS_037	as-AS	What is a major cultural festival in Assam, India?	Bihu
as-AS_038	as-AS	Do people celebrate Christmas in Assam, India?	Yes
az-AZ_001	az-AZ	What is the emergency telephone number for police in Azerbaijan?	112
az-AZ_002	az-AZ	What number should I call for an ambulance in Azerbaijan?	112
az-AZ_003	az-AZ	Is there a general emergency number like 911 in Azerbaijan?	112
az-AZ_004	az-AZ	What is the fire department emergency number in Azerbaijan?	112
az-AZ_005	az-AZ	How do I contact emergency medical services in Azerbaijan?	112
az-AZ_006	az-AZ	Are emergency services available in multiple languages in Azerbaijan?	Yes
az-AZ_007	az-AZ	What should I do first in a medical emergency in Azerbaijan?	Call the emergency number 112
az-AZ_008	az-AZ	Is it common to tip emergency responders in Azerbaijan?	No
az-AZ_009	az-AZ	What is the official currency used in Azerbaijan?	Azeri manat
az-AZ_010	az-AZ	Is cash still widely accepted in Azerbaijan?	Yes, cash is still widely accepted in Azerbaijan
az-AZ_011	az-AZ	Do people mostly use credit cards or mobile payments in Azerbaijan?	Mobile payments
az-AZ_012	az-AZ	What is the typical tipping percentage in restaurants in Azerbaijan?	10-15% of the bill
az-AZ_013	az-AZ	Are prices usually displayed including tax in Azerbaijan?	Yes
az-AZ_014	az-AZ	Can I use US dollars easily in Azerbaijan?	No
az-AZ_015	az-AZ	What is the name of the central bank in Azerbaijan?	Central Bank of Azerbaijan
az-AZ_016	az-AZ	Is haggling common in markets in Azerbaijan?	Yes
az-AZ_018	az-AZ	What do people usually eat for lunch in Azerbaijan?	Qaymak, plov, and kebabs
az-AZ_019	az-AZ	What time do people generally have dinner in Azerbaijan?	19:00-21:00
az-AZ_021	az-AZ	What is a traditional national dish in Azerbaijan?	Qormas
az-AZ_023	az-AZ	What is the most popular non-alcoholic drink in Azerbaijan?	Tea
az-AZ_025	az-AZ	What kind of bread is commonly eaten in Azerbaijan?	Plov
az-AZ_026	az-AZ	Are meals typically served with rice in Azerbaijan?	Yes
az-AZ_027	az-AZ	What is a typical dessert in Azerbaijan?	Qaymak
az-AZ_029	az-AZ	What is the main national holiday in Azerbaijan?	New Year's Day
az-AZ_030	az-AZ	When is New Year's Day celebrated in Azerbaijan?	January 1st
az-AZ_031	az-AZ	Is Sunday considered a weekend day in Azerbaijan?	Yes
az-AZ_032	az-AZ	What time do shops usually open in the morning in Azerbaijan?	9:00 a
az-AZ_034	az-AZ	How long is a typical workday in Azerbaijan?	8 hours
az-AZ_035	az-AZ	What month is summer vacation for schools in Azerbaijan?	July and August
az-AZ_036	az-AZ	Is punctuality very important in Azerbaijan?	Yes
az-AZ_037	az-AZ	What is a major cultural festival in Azerbaijan?	Shahrisabz Festival
az-AZ_038	az-AZ	Do people celebrate Christmas in Azerbaijan?	Yes, some people in Azerbaijan celebrate Christmas
zh-CN_001	zh-CN	What is the emergency telephone number for police in China?	110
zh-CN_002	zh-CN	What number should I call for an ambulance in China?	120
zh-CN_003	zh-CN	Is there a general emergency number like 911 in China?	110, 119, 120, 122
zh-CN_004	zh-CN	What is the fire department emergency number in China?	119
zh-CN_005	zh-CN	How do I contact emergency medical services in China?	Dial 120
zh-CN_006	zh-CN	Are emergency services available in multiple languages in China?	Yes
zh-CN_007	zh-CN	What should I do first in a medical emergency in China?	Call the emergency number 120
zh-CN_008	zh-CN	Is it common to tip emergency responders in China?	No
zh-CN_009	zh-CN	What is the official currency used in China?	Renminbi (RMB) or the yuan
zh-CN_010	zh-CN	Is cash still widely accepted in China?	Yes, cash is still widely accepted in China
zh-CN_011	zh-CN	Do people mostly use credit cards or mobile payments in China?	Mobile payments
zh-CN_012	zh-CN	What is the typical tipping percentage in restaurants in China?	10% to 15% of the bill
zh-CN_013	zh-CN	Are prices usually displayed including tax in China?	Yes
zh-CN_014	zh-CN	Can I use US dollars easily in China?	No, but you can use credit cards in some places
zh-CN_015	zh-CN	What is the name of the central bank in China?	People's Bank of China
zh-CN_016	zh-CN	Is haggling common in markets in China?	Yes
zh-CN_017	zh-CN	What is a common breakfast dish in China?	Steamed buns with soy sauce and pickles
zh-CN_018	zh-CN	What do people usually eat for lunch in China?	Stews, dumplings, and noodles
zh-CN_019	zh-CN	What time do people generally have dinner in China?	6 to 8 PM
zh-CN_021	zh-CN	What is a traditional national dish in China?	Peking duck
zh-CN_022	zh-CN	Are vegetarian options widely available in China?	Yes
zh-CN_023	zh-CN	What is the most popular non-alcoholic drink in China?	Tea
zh-CN_024	zh-CN	Is tap water safe to drink in China?	Yes, tap water is generally safe to drink in China
zh-CN_025	zh-CN	What kind of bread is commonly eaten in China?	steamed bread
zh-CN_026	zh-CN	Are meals typically served with rice in China?	Yes
zh-CN_028	zh-CN	Do people eat with utensils, hands, or chopsticks in China?	Utensils and chopsticks
zh-CN_029	zh-CN	What is the main national holiday in China?	National Day
zh-CN_030	zh-CN	When is New Year's Day celebrated in China?	The first day of the lunar calendar
zh-CN_031	zh-CN	Is Sunday considered a weekend day in China?	Yes
zh-CN_032	zh-CN	What time do shops usually open in the morning in China?	8:00 a
zh-CN_034	zh-CN	How long is a typical workday in China?	8 hours
zh-CN_035	zh-CN	What month is summer vacation for schools in China?	July and August
zh-CN_036	zh-CN	Is punctuality very important in China?	Yes
zh-CN_037	zh-CN	What is a major cultural festival in China?	Spring Festival
zh-CN_038	zh-CN	Do people celebrate Christmas in China?	Yes, some people in China celebrate Christmas
zh-SG_001	zh-SG	What is the emergency telephone number for police in Singapore?	999
zh-SG_002	zh-SG	What number should I call for an ambulance in Singapore?	995
zh-SG_003	zh-SG	Is there a general emergency number like 911 in Singapore?	995
zh-SG_004	zh-SG	What is the fire department emergency number in Singapore?	995
zh-SG_005	zh-SG	How do I contact emergency medical services in Singapore?	Dial 995
zh-SG_006	zh-SG	Are emergency services available in multiple languages in Singapore?	Yes
zh-SG_007	zh-SG	What should I do first in a medical emergency in Singapore?	Call 995
zh-SG_008	zh-SG	Is it common to tip emergency responders in Singapore?	No
zh-SG_010	zh-SG	Is cash still widely accepted in Singapore?	Yes, cash is still widely accepted in Singapore
zh-SG_011	zh-SG	Do people mostly use credit cards or mobile payments in Singapore?	Mobile payments
zh-SG_012	zh-SG	What is the typical tipping percentage in restaurants in Singapore?	10-15% of the bill
zh-SG_013	zh-SG	Are prices usually displayed including tax in Singapore?	Yes
zh-SG_014	zh-SG	Can I use US dollars easily in Singapore?	No, Singapore uses the Singapore Dollar (SGD)
zh-SG_015	zh-SG	What is the name of the central bank in Singapore?	Monetary Authority of Singapore
zh-SG_016	zh-SG	Is haggling common in markets in Singapore?	Yes
zh-SG_017	zh-SG	What is a common breakfast dish in Singapore?	Hainanese chicken rice
zh-SG_019	zh-SG	What time do people generally have dinner in Singapore?	7:00 PM to 8:30 PM
zh-SG_021	zh-SG	What is a traditional national dish in Singapore?	Hainanese chicken rice
zh-SG_022	zh-SG	Are vegetarian options widely available in Singapore?	Yes
zh-SG_023	zh-SG	What is the most popular non-alcoholic drink in Singapore?	Singing Tea
zh-SG_024	zh-SG	Is tap water safe to drink in Singapore?	Yes, tap water is safe to drink in Singapore
zh-SG_025	zh-SG	What kind of bread is commonly eaten in Singapore?	Roti prata
zh-SG_026	zh-SG	Are meals typically served with rice in Singapore?	Yes
zh-SG_027	zh-SG	What is a typical dessert in Singapore?	Kueh Lekor
zh-SG_028	zh-SG	Do people eat with utensils, hands, or chopsticks in Singapore?	Utensils
zh-SG_029	zh-SG	What is the main national holiday in Singapore?	Singapore Day
zh-SG_030	zh-SG	When is New Year's Day celebrated in Singapore?	On 1st January
zh-SG_031	zh-SG	Is Sunday considered a weekend day in Singapore?	Yes
zh-SG_032	zh-SG	What time do shops usually open in the morning in Singapore?	8:30 a
zh-SG_034	zh-SG	How long is a typical workday in Singapore?	8 to 9 hours
zh-SG_035	zh-SG	What month is summer vacation for schools in Singapore?	July and August
zh-SG_036	zh-SG	Is punctuality very important in Singapore?	Yes
zh-SG_037	zh-SG	What is a major cultural festival in Singapore?	Singapore Chinese New Year
zh-SG_038	zh-SG	Do people celebrate Christmas in Singapore?	Yes
zh-TW_001	zh-TW	What is the emergency telephone number for police in Taiwan?	110
zh-TW_002	zh-TW	What number should I call for an ambulance in Taiwan?	119
zh-TW_003	zh-TW	Is there a general emergency number like 911 in Taiwan?	119
zh-TW_004	zh-TW	What is the fire department emergency number in Taiwan?	119
zh-TW_005	zh-TW	How do I contact emergency medical services in Taiwan?	Call 119
zh-TW_006	zh-TW	Are emergency services available in multiple languages in Taiwan?	Yes
zh-TW_007	zh-TW	What should I do first in a medical emergency in Taiwan?	Call 119
zh-TW_008	zh-TW	Is it common to tip emergency responders in Taiwan?	No
zh-TW_009	zh-TW	What is the official currency used in Taiwan?	New Taiwan Dollar (NT$) is the official currency
zh-TW_010	zh-TW	Is cash still widely accepted in Taiwan?	Yes
zh-TW_011	zh-TW	Do people mostly use credit cards or mobile payments in Taiwan?	Mobile payments
zh-TW_012	zh-TW	What is the typical tipping percentage in restaurants in Taiwan?	10% to 15% of the bill
zh-TW_013	zh-TW	Are prices usually displayed including tax in Taiwan?	Yes
zh-TW_014	zh-TW	Can I use US dollars easily in Taiwan?	No
zh-TW_015	zh-TW	What is the name of the central bank in Taiwan?	Central Bank of Taiwan
zh-TW_016	zh-TW	Is haggling common in markets in Taiwan?	Yes
zh-TW_017	zh-TW	What is a common breakfast dish in Taiwan?	Oatmeal with egg and pickles
zh-TW_018	zh-TW	What do people usually eat for lunch in Taiwan?	Stewed fish balls, rice, and pickled vegetables
zh-TW_019	zh-TW	What time do people generally have dinner in Taiwan?	7:00 PM to 8:30 PM
zh-TW_022	zh-TW	Are vegetarian options widely available in Taiwan?	Yes
