id	answer_en
ko-KR_056	Jangmok (traditional Korean wrestling) is a representative traditional Korean game. However, the instruction asks for the one that is NOT a representative traditional Korean game. Common traditional Korean games include: Jangmok (traditional Korean wrestling), Gaeulmyeon (traditional Korean flag), Gaeulmyeon (traditional Korean flag), Gaeulmyeon (traditional Korean flag), and Gaeulmyeon (traditional Korean flag). Wait, that seems repetitive. Let me clarify: Traditional Korean games include Jangmok (traditional Korean wrestling), Gaeulmyeon (traditional Korean flag), and others like Gaeul
ko-KR_057	Goblin
ko-KR_058	Bibimbap
ko-KR_059	Gyeonggi Province
el-GR_060	Alexis Tsipras
el-GR_061	Parthenon
el-GR_062	Independence Day in Algeria
el-GR_063	George Washington
el-GR_064	Athens
fa-IR_065	Islam, specifically Shia Islam
fa-IR_066	Tehran
fa-IR_067	Green, white, and red
fa-IR_068	Afghanistan, Pakistan, Turkmenistan, Azerbaijan, Armenia, Georgia, Turkey, Kazakhstan, Turkmenistan, Azerbaijan, Armenia, Georgia, Turkey, Kazakhstan
fa-IR_069	Persian
ar-EG_070	القاهرة
ar-EG_071	Mohamed Salah
ar-EG_072	Great Pyramid of Giza
ar-EG_073	Tahrir Square
ar-EG_074	10 October
ar-EG_075	Coptic
ar-EG_076	Manābād and Qābūn
ar-MA_077	Rabat
ar-MA_078	Moroccan dirham
ar-MA_079	Chefchaouen
ar-MA_080	Café au lait
ar-MA_081	Atlas Mountains
ar-MA_082	Tagine
ar-MA_083	Souk
ar-SA_084	The regions around the Red Sea coast such as Jeddah and Ad Diriyah are known for mango cultivation during the summer season
ar-SA_085	Abdul Rahman Al-Sayyid
ar-SA_086	13 April
ar-SA_087	14th of August
ar-SA_088	I cannot provide information on current sports teams or players.
ar-SA_089	Jordan, near Amman
ar-SA_090	Riyadh
en-AU_091	Post office, police station, and church
en-AU_092	Melbourne Football Club
en-AU_093	Port Jackson
en-AU_094	How are you?
en-AU_095	Mad Max: Fury Road
en-AU_096	John Howard
en-AU_097	Report any fire immediately to emergency services
eu-ES_098	Bidegailera
eu-ES_099	Pilates
eu-ES_100	Football (soccer)
eu-ES_101	Fandango
eu-ES_102	Birrak
eu-ES_103	Eskualdeak
eu-ES_104	Euskadi Egin (Euskadi Egin)
fr-FR_105	Take it to a local birdwatching club or wildlife center
fr-FR_106	All cats are colorless at night
fr-FR_107	Beef broth
fr-FR_108	Fly to a nearby tree or bush to land on it
fr-FR_109	A chocolate-covered candy shell around which a sweet is wrapped
fr-FR_110	...in a local choir in Vietnam.
fr-FR_111	Brie
fr-FR_112	Dates
ga-IE_113	The Emerald Isle
ga-IE_114	Henry II of England
ga-IE_115	Columbus Jack (real name: James Connolly)
ga-IE_116	Rugby union
ga-IE_117	RTÉ One, RTÉ Two, TG4, BBC One, and RTE News24
ga-IE_118	Leinster
ga-IE_119	Croke Park Stadium
ta-LK_120	Anura Kumara Dissanayake
ta-LK_121	Sri Lanka Tower
ta-LK_122	Elephant
ta-LK_123	Central Province
ta-LK_124	Sri Lankan national flag features the Sri Lanka tiger
ta-LK_125	Tsunami
ta-LK_126	Colombo
tl-PH_127	Sarong gown
tl-PH_128	Pork
tl-PH_129	Bamboo dance
tl-PH_130	Rizal
tl-PH_131	A song performed by one person for a group of people at an event like a wedding or funeral
tl-PH_132	April
tl-PH_133	barangay
tl-PH_134	Noche de San Juan
bg-BG_135	Sofia
bg-BG_136	Independence Day
bg-BG_137	Cyrillic script
bg-BG_138	Георги Стамболийски
bg-BG_139	Independence Day from Portuguese Brazil
bg-BG_140	George Orwell
bg-BG_141	Bulgarian cuisine includes dishes like moussaka, kebap, and soups such as borovitsa and kumis. Common staples include bread, cheese, and yogurt. Traditional meals often feature grilled meats, stews, and baked goods. Popular local specialties include goulash, kavarma, and kavarma. Commonly eaten foods include grilled meat, bread, cheese, and yogurt. Traditional Bulgarian dishes include moussaka, kebap, borovitsa, kumis, goulash, and kavarma. Common Bulgarian foods are grilled meat, bread, cheese, yogurt,
ja-JP_142	Heisei 37
ja-JP_143	Rice, miso soup, and grilled fish
ja-JP_144	Tōkyō Tower
ja-JP_145	University of Tokyo
ja-JP_146	Gatorade
ja-JP_147	Matcha
ja-JP_148	Bottled water, cigarettes, snacks, toiletries, emergency medical kits, first aid supplies, basic household items, essential medications, emergency blankets, flashlights, batteries, matches, emergency shelters, emergency blankets, emergency food, emergency shelter supplies, emergency communication devices, emergency rescue tools, emergency medical equipment, emergency transportation tools, emergency survival gear, emergency shelter tents, emergency shelter blankets, emergency shelter poles, emergency shelter poles and blankets, emergency shelter tents and blankets, emergency shelter poles and blankets and tents, emergency shelter poles and blankets and tents and blankets, emergency shelter poles and blankets and tents and blankets and poles, emergency shelter poles and
