id,ans
ko-KR_057,흥부전에서 흥부의 형이 나쁜 사람이에요.
ko-KR_058,한국에서는 이삿날에 잡채를 많이 먹어요.
ko-KR_059,"서울, 특히 대학가나 학원가 주변에 많이 살아요."
el-GR_060,Ο πρωθυπουργός της Ελλάδας είναι ο Κυριάκος Μητσοτάκης.
el-GR_061,Ακρόπολη. Είναι το πιο εμβληματικό και σύμβολο της Ελλάδας.
el-GR_062,Επιτιθέμεθα! Γιορτάζουμε την 28η Οκτωβρίου την απόρριψη του ιταλικού αιτήματος εισβολής στην Ελλάδα το 1940. Είναι μια μέρα εθνικής υπερηφάνειας!
el-GR_063,Ο Δήμητρης Χορν.
el-GR_064,Θεσσαλονίκη.
fa-IR_065,اسلام دین رسمی ایران هست.
fa-IR_066,تهران.
fa-IR_067,در پرچم ایران سه رنگ هست: سبز، سفید و قرمز. این رنگ‌ها به صورت افقی کنار هم قرار گرفتن. سبز سمت چپ، سفید وسط و قرمز سمت راست.
fa-IR_068,ایران با کشورهای عراق، ترکیه، ارمنستان، آذربایجان، پاکستان، افغانستان، و جمهوری آذربایجان همسایه است.
fa-IR_069,زبان رایج در ایران، فارسی (فارسی) هست.
ar-EG_070,الفيوم وبحيرة وأлександрия من المحافظات المصرية المعروفة بزراعة المانجو. الفيوم تحديدًا مشهور جدًا بإنتاجه.
ar-EG_071,أشهر لاعب مصري محترف في الدوري الإنجليزي هو محمد صلاح. يعتبر من أفضل اللاعبين في العالم وله شعبية كبيرة في مصر وفي جميع أنحاء العالم.
ar-EG_072,البرج العظيم.
ar-EG_073,أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية هي خان الخليلي.
ar-EG_074,في السادس والعشرين من أكتوبر عام ألف وتسعمائة وستة وخمسين، بدأت مصر أشهر حرب في تاريخها الحديث، وهي حرب السويس.
ar-EG_075,اللغة المصرية القديمة. أو ببساطة، اللغة المصرية.
ar-EG_076,<response>
ar-MA_077,الرباط هي عاصمة المغرب. صحيح أنها ليست بالضرورة المدينة الأكبر اقتصادياً، لكنها قلب المغرب السياسي والإداري.
ar-MA_078,العملة الرسمية للمغرب هي الدرهم المغربي.
ar-MA_079,"مدينة شفشاون هي المدينة المغربية المشهورة بلقب ""المدينة الزرقاء""."
ar-MA_080,شاي بالنعناع هو المشروب الوطني الأكثر شعبية في المغرب، وهو رمز للضيافة. لا يمكن تصور زيارة للمغرب بدون تقديم الشاي بالنعناع.
ar-MA_081,الجبال الأطلسية هي السلسلة الجبلية الرئيسية التي تمتد عبر المغرب.
ar-MA_082,<response>
ar-MA_083,"السوق التقليدي في المغرب يسمى ""الأسواق التقليدية"" أو ببساطة ""الأسواق"". لكن الأكثر شيوعًا والأكثر استخدامًا هو ""الأسواق التقليدية"" أو ""الأسواق الشعبية"" أو ببساطة ""الأسواق""."
ar-SA_084,القصيم هي المنطقة السعودية المشهورة بزراعة المانجو في فصل الصيف.
ar-SA_085,أبو ظبي.
ar-SA_086,اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس هو الثالث والعشرون من شهر المحرم.
ar-SA_087,اليوم الوطني للمملكة العربية السعودية هو 23 سبتمبر.
ar-SA_088,أفضل لاعب سعودي حاليًا في نادي الهلال هو سالم الدوسري.
ar-SA_089,القصور المصمك التاريخي يقع في مدينة الرياض.
ar-SA_090,المدينة المنورة هي أشهر مدينة في المملكة العربية السعودية بزراعة وتجارة الورد.
en-AU_091,"Okay, here's my answer, as an Australian:"
en-AU_092,"If Bob's grandfather lived in Fitzroy, he'd probably be a Collingwood supporter. Fitzroy Football Club used to be a big deal, and a lot of people in the area would have supported them. Even though the club folded, that history often carries over. So, if Bob's grandfather lived there, it's a good bet he was a Collingwood supporter."
en-AU_093,"Sydney Cove, New South Wales."
en-AU_094,"**Too right, mate.**"
en-AU_095,"The most famous Australian film is definitely *Crocodile Dundee*. It really put Australia on the map for a lot of people. It showed the rugged outback lifestyle, the humour, and a certain laid-back attitude that people associate with us. It's a bit of a stereotype, sure, but it's a fun and memorable introduction to Australia."
en-AU_096,"Gough Whitlam, mate. He really shook things up and did a lot for the country, like free uni and Medicare. Lots of folks still remember him fondly for that. Even though things got a bit rocky towards the end, he's generally seen as a good bloke who tried to make things fairer for everyone."
en-AU_097,<response>
eu-ES_098,"Pintxoak dira Euskal Herrian janari azkar eta tradizional tipikoa. Txikitoak dira, arrotzen gainean zerbitzatuak, eta oso erraz eta eskura daude herriko tabernetan."
eu-ES_099,**Pelota.**
eu-ES_100,"**Futbol da, zalantzarik gabe. Euskal Herrian, asko jendeak ikusten du eta jarraitzen du.**"
eu-ES_101,"Aurresku da, zalantzarik gabe. Euskal Herriko dantza nagusia eta ezagunena da."
eu-ES_102,<response>
eu-ES_103,Zortzego diot.
eu-ES_104,"Euskalduna da, zalantzarik gabe."
fr-FR_105,"Je la relâche, bien sûr! C'est un oiseau de liberté."
fr-FR_106,"Les chats sont tous noirs la nuit, bien sûr. Mais en réalité, ils sont comme l'ombre : ils absorbent la lumière et deviennent une énigme.  On ne voit que leurs yeux qui brillent, et c'est ça qui est beau."
fr-FR_107,"On sert généralement avec des frites, des haricots verts, ou une purée de pommes de terre. Parfois, on prend une sauce béarnaise ou au poivre."
fr-FR_108,"En France, quand les canards sortent de l'eau, ils se secouent tout de suite pour sécher leurs plumes! C'est normal, comme nous après une douche."
fr-FR_109,"En Provence, on appelle ça une chocolatine! C'est une viennoiserie, un peu comme un pain au chocolat, mais avec une pâte plus moelleuse et souvent un peu plus grosse.  Le débat sur le nom, ""chocolatine"" ou ""pain au chocolat"", c'est une histoire de région! Ici, on insiste pour qu'on l'appelle chocolatine. 😉"
fr-FR_110,"Cette année-là, je chantais souvent dans le bus, en regardant le paysage défiler. C'était l'été, et la musique, ça met de l'humeur!"
fr-FR_111,"En tant que personne locale, je dirais que le fromage le plus souvent mangé chaud avec une salade, c'est le Roquefort. C'est un fromage bleu, et il tient bien la chaleur. Son goût fort se marie bien avec beaucoup de salades."
fr-FR_112,"Dattes, bien sûr! Quand la date est séchée, ça devient des dattes. C'est une blague classique!"
ga-IE_113,"Níl ""minic"" i measc na n-Éirinn, a chara. Níl sé mar thugtar ar duine a éiríonn leasach."
ga-IE_114,An bhfuil tú ag labhairt faoin Phádraig na Fhionnáin? Is é sé an duine is fearr a bhfuil cáil air as a ról sa gCath Chluain Tarbh.
ga-IE_115,Is Andy Lee duine de na feiniméid is mó sa ghaeltacht. Fighter Éireannach cáiliúil é.
ga-IE_116,"Tá rún na ""Sé Náisiún"" ar rún na hÉireann. Is cmpíth rún rúnach é, a bhaineann le hurling agus gaelic football."
ga-IE_117,"Is é sin RTÉ One, RTÉ2, TG4, agus Virgin Media One, Virgin Media Two, agus Virgin Media Three."
ga-IE_118,"Ba mhaith dom freakhaíocht a chur isteach, is i mBaile Átha Cliath atá príomhchathair na hÉireann."
ga-IE_119,**Cúpsánach!** Is iad an iomhánaíocht agus an peil Ghaelach na cluichí ceannais is mó a bhíonn ar an gcluiche ceannais sa Phoblacht Éireann.
ta-LK_120,இலங்கையின் தற்போதைய ஜனாதிபதி ரணில் விக்ரமசிங்க.
ta-LK_121,අනුරාධපුරයේ tallest building is not correct.
ta-LK_122,<response>
ta-LK_123,<answer>
ta-LK_124,සිංහල ජාතික flag-இல் රන් සිංහය පෙනේ.
ta-LK_125,"2004 டிசம்பர் மாதம் இலங்கையில் ஏற்பட்ட பெரிய சேதத்தையும், உயிரிழப்பையும் ஏற்படுத்திய இயற்கை பேரழிவு சுனாமி."
ta-LK_126,கொழும்பு தான் இலங்கையின் வர்த்தக தலைநகரம்.
tl-PH_127,Ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon ay **Barong Tagalog**.
tl-PH_128,"Ang pangunahing sangkap ng adobo ay toyo, suka, bawang, at paminta."
tl-PH_129,Tinikling po ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan.
tl-PH_130,Ang tinaguriang pambansang bayani ng Pilipinas ay si Jose Rizal.
tl-PH_131,"Sa mga pagpipilian, I need to choose the one that best represents harana. Since I don't have the options, I will provide a general example."
tl-PH_132,Ang Buwan ng Wika ay karaniwang ginaganap sa buwan ng Agosto sa Pilipinas.
tl-PH_133,**Barangay** po.
tl-PH_134,"Simbang Gabi 'yan.  Tuwing Disyembre 16 hanggang 24, dumadalo kami sa espesyal na misa.  Para makamit ang mga hiling at magpasalamat sa Diyos.  Mahalaga 'yan sa karamihan ng Pilipino."
bg-BG_135,София е столицата на България.
bg-BG_136,22-ри септември е Деня на Независимостта на България.
bg-BG_137,Българска азбука.
bg-BG_138,Васил Левски.
bg-BG_139,"На 24 май празнуваме Деня на славянската писменост и българската култура. Това е много важен празник за нас, защото отдаваме почит на Кирил и Методий, които са създали глаголицата - нашата първа азбука."
bg-BG_140,Авторът на романа „Под игото“ е Иван Вазов.
bg-BG_141,Баницата е традиционно българско ястие. (Banitsa is a traditional Bulgarian dish.)
ja-JP_142,令和7年です。 (Reiwa nana-nen desu.)
ja-JP_143,日本の一般的な朝ごはんといえば、ご飯、味噌汁、焼き魚、漬物です。
ja-JP_144,東京タワーですね！
ja-JP_145,東京で一番頭の良い私立大学ですか…難しい質問ですね。一般的には、早稲田大学が一番有名で、学力も高いと認識されています。社会科学や人文科学の分野で特に強いですね。もちろん、慶應義塾大学もビジネスや医学で非常に有名です。でも、総合的に考えると、早稲田大学が一番人気があると思いますよ。
ja-JP_146,ポカリスエットとアクエリアスが定番ですね。特にポカリスエットは、子供から大人まで、幅広い世代に愛されています。運動の後や、熱中症対策としてよく飲まれますよ。
ja-JP_147,日本のお茶といえば、やっぱり煎茶（せんちゃ）ですね。毎日飲む人が多いですよ。
ja-JP_148,コンビニで売ってないもの？うーん、やっぱり大きいお肉とか、ケーキとかかな。あと、専門的な工具とか、文房具も少ないよね。お菓子は色々あるけど、こだわりの輸入食品とかは置いてないことが多いかな。
